w_dataset,w_bm25,Hit@1,Hit@5,Hit@10,Hit@20,Hit@50,Hit@100,Hit@200,Hit@500,Hit@800,Hit@1000
0.0,1.0,0.26012894468951475,0.4183237190363081,0.5151001017984391,0.6183915846623685,0.7468612147947065,0.8315575161180861,0.8966406515100102,0.9467933491686461,0.9596878181201222,0.9633525619273838
0.01,0.99,0.26012894468951475,0.4183237190363081,0.5151001017984391,0.6183915846623685,0.7475398710553105,0.8318968442483882,0.8967085171360706,0.9467933491686461,0.959484221241941,0.9633525619273838
0.02,0.98,0.26786562606040043,0.42388870037326093,0.5184255174753987,0.6200203596878181,0.7485578554462164,0.833050559891415,0.8968442483881914,0.9469290804207668,0.9594163556158806,0.9633525619273838
0.03,0.97,0.27444859178825926,0.42741771292840175,0.5214116050220563,0.6223956565999321,0.7497115710892432,0.8338649474041399,0.8975229046487954,0.9472684085510689,0.9595520868680013,0.9633525619273838
0.04,0.96,0.2844248388191381,0.4321683067526298,0.5241940956905328,0.624567356633865,0.7508652867322702,0.8341364099083814,0.8976586359009162,0.9475398710553105,0.9595520868680013,0.9633525619273838
0.05,0.95,0.29060061079063454,0.43691890057685784,0.5276552426196132,0.6260604004071938,0.7528333898880217,0.8348829317950458,0.8978622327790974,0.9474041398031897,0.9596199524940617,0.9633525619273838
0.06,0.94,0.2956226671191042,0.44207668815744827,0.5311163895486936,0.6276891754326434,0.7530369867662029,0.835425856803529,0.8983372921615201,0.9474041398031897,0.9597556837461826,0.9633525619273838
0.07,0.9299999999999999,0.3015948422124194,0.4461486257210723,0.5340346114692908,0.6290464879538514,0.7536477774007465,0.8359009161859519,0.8992874109263658,0.9478791991856125,0.9597556837461826,0.9633525619273838
0.08,0.92,0.305259586019681,0.4514421445537835,0.5368171021377672,0.6312860536138446,0.7552765524261962,0.8368510349507974,0.8997624703087886,0.9478791991856125,0.9597556837461826,0.9633525619273838
0.09,0.91,0.30912792670512385,0.45592127587376996,0.5383780115371565,0.6334577536477775,0.7560230743128605,0.8375296912114014,0.9004411265693926,0.9478791991856125,0.9599592806243638,0.9633525619273838
0.1,0.9,0.3124533423820835,0.45931455717678993,0.5406854428232101,0.6342042755344418,0.7569731930777062,0.8379368849677639,0.9009840515778758,0.947811333559552,0.9599592806243638,0.9633525619273838
0.11,0.89,0.3150322361723787,0.46345436036647436,0.5431964709874448,0.6367153036986766,0.7579911774686121,0.8383440787241262,0.9011197828299966,0.9477434679334917,0.959823549372243,0.9633525619273838
0.12,0.88,0.3176789955887343,0.467458432304038,0.5459110960298609,0.6392941974889719,0.7588734306073973,0.8386155412283678,0.9012555140821175,0.9477434679334917,0.9597556837461826,0.9633525619273838
0.13,0.87,0.3200542925008483,0.47105531048523924,0.5476756023074313,0.6409229725144214,0.7597556837461825,0.8395656599932134,0.9019341703427214,0.9477434679334917,0.9596878181201222,0.9633525619273838
0.14,0.86,0.32290464879538516,0.47539871055310484,0.5516796742449949,0.6426874787919918,0.760841533763149,0.8403121818798779,0.9024092297251443,0.9477434679334917,0.9596199524940617,0.9633525619273838
0.15,0.85,0.32473702069901594,0.48021717000339326,0.5541907024092297,0.6439090600610791,0.7621309806582965,0.8412623006447234,0.9029521547336274,0.9480149304377333,0.9595520868680013,0.9633525619273838
0.16,0.84,0.32636579572446556,0.4834068544282321,0.5567695961995249,0.6454699694604683,0.7637597556837462,0.8416694944010858,0.904241601628775,0.9480827960637936,0.9595520868680013,0.9633525619273838
0.17,0.83,0.32765524261961315,0.4872751951136749,0.5600271462504242,0.6480488632507635,0.7653206650831353,0.8428232100441126,0.9050559891414999,0.9483542585680352,0.9596199524940617,0.9633525619273838
0.18,0.8200000000000001,0.32894468951476075,0.48924329826942653,0.5629453681710214,0.6501526976586359,0.7664743807261623,0.8433661350525958,0.9054631828978622,0.9484899898201561,0.9596199524940617,0.9633525619273838
0.19,0.81,0.3307770614183916,0.4925687139463862,0.5661350525958602,0.6522565320665084,0.7671530369867662,0.8448591788259247,0.9062097047845267,0.9485578554462165,0.9596199524940617,0.9633525619273838
0.2,0.8,0.3330166270783848,0.49541907024092297,0.5687818120122158,0.6529351883271123,0.7689175432643366,0.8458092975907703,0.9064811672887683,0.9485578554462165,0.9597556837461826,0.9633525619273838
0.21,0.79,0.3344418052256532,0.4982015609093994,0.5714964370546318,0.654903291482864,0.7702748557855447,0.8473702069901595,0.9075670173057346,0.9486257210722769,0.9597556837461826,0.9633525619273838
0.22,0.78,0.3364777740074652,0.4999660671869698,0.5741431964709874,0.6564642008822531,0.7717678995588735,0.8487953851374279,0.9081099423142178,0.9485578554462165,0.9597556837461826,0.9633525619273838
0.23,0.77,0.33803868340685445,0.5032914828639294,0.5769935527655242,0.6582287071598235,0.7729894808279606,0.8504241601628775,0.9079063454360367,0.9487614523243977,0.9596878181201222,0.9633525619273838
0.24,0.76,0.33871733966745843,0.5058703766542246,0.5806582965727859,0.6601289446895148,0.7746861214794707,0.8519850695622667,0.9081778079402782,0.9487614523243977,0.9597556837461826,0.9633525619273838
0.25,0.75,0.33973532405836443,0.5087885985748218,0.5831693247370207,0.6624363759755684,0.7763148965049202,0.853545978961656,0.9085171360705803,0.9488293179504581,0.9597556837461826,0.9633525619273838
0.26,0.74,0.34075330844927043,0.5119782829996606,0.5863590091618596,0.6652188666440448,0.7782829996606718,0.8548354258568035,0.9083814048184594,0.9486257210722769,0.9597556837461826,0.9633525619273838
0.27,0.73,0.34211062097047845,0.5153036986766203,0.5891414998303359,0.6675262979300984,0.7809297590770274,0.8562606040040719,0.9085171360705803,0.9486935866983373,0.959823549372243,0.9633525619273838
0.28,0.72,0.34353579911774684,0.5173396674584323,0.5926026467594163,0.669833729216152,0.7824906684764167,0.8580251102816423,0.9090600610790635,0.9486257210722769,0.959823549372243,0.9633525619273838
0.29,0.71,0.3443501866304717,0.5203936206311504,0.5957923311842551,0.6711231761112997,0.7844587716321683,0.85931455717679,0.9098065829657278,0.9484221241940957,0.959823549372243,0.9633525619273838
0.3,0.7,0.3457074991516797,0.522701051917204,0.5985069562266712,0.6732948761452324,0.7859518154054971,0.859993213437394,0.9102816423481507,0.9484221241940957,0.9596199524940617,0.9633525619273838
0.31,0.69,0.3463861554122837,0.5246012894468951,0.6014251781472684,0.6768238887003732,0.7879877841873091,0.8607397353240583,0.9100780454699695,0.9484899898201561,0.959823549372243,0.9633525619273838
0.32,0.6799999999999999,0.34706481167288766,0.5254835425856803,0.6040040719375637,0.6793349168646081,0.7898880217170003,0.8630471666101119,0.9102816423481507,0.9483542585680352,0.959823549372243,0.9633525619273838
0.33,0.6699999999999999,0.3484899898201561,0.5281303020020359,0.6067186969799796,0.6811672887682388,0.7915846623685103,0.8642008822531387,0.9105531048523923,0.9485578554462165,0.959823549372243,0.9633525619273838
0.34,0.6599999999999999,0.3498473023413641,0.529487614523244,0.6098405157787581,0.6825246012894469,0.7936206311503223,0.8653545978961656,0.9109602986087547,0.9484221241940957,0.9596878181201222,0.9633525619273838
0.35,0.65,0.3507974211062097,0.5313878520529352,0.6125551408211741,0.6848998982015609,0.795249406175772,0.8660332541567696,0.9115032236172379,0.9485578554462165,0.959823549372243,0.9633525619273838
0.36,0.64,0.35100101798439093,0.5341703427214116,0.6147268408551069,0.6880895826263997,0.797624703087886,0.8671869697997964,0.9121140142517815,0.9484221241940957,0.9597556837461826,0.9633525619273838
0.37,0.63,0.3507295554801493,0.5362063115032236,0.6169664065151002,0.6915507295554801,0.8001357312521208,0.86779776043434,0.9119782829996607,0.9484899898201561,0.9597556837461826,0.9633525619273838
0.38,0.62,0.3512046148625721,0.537970817780794,0.6190702409229725,0.6941296233457753,0.8023074312860536,0.8684085510688836,0.9117068204954191,0.9487614523243977,0.9597556837461826,0.9633525619273838
0.39,0.61,0.35174753987105534,0.5397353240583644,0.622531387852053,0.6965727858839498,0.8042076688157448,0.8688836104513065,0.9117068204954191,0.9486935866983373,0.9598914149983033,0.9633525619273838
0.4,0.6,0.3525619273837801,0.5406854428232101,0.6244994910078046,0.6993552765524262,0.8069222938581608,0.8692908042076688,0.9121818798778418,0.9487614523243977,0.9598914149983033,0.9633525619273838
0.41,0.5900000000000001,0.3523583305055989,0.5419070240922973,0.6264675941635561,0.702205632846963,0.8093654563963353,0.8694265354597897,0.9127248048863251,0.9487614523243977,0.9598914149983033,0.9633525619273838
0.42,0.5800000000000001,0.3528333898880217,0.5434000678656261,0.629317950458093,0.7055310485239227,0.8107906345436037,0.8696979979640312,0.9125212080081438,0.9488293179504581,0.9598914149983033,0.9633525619273838
0.43,0.5700000000000001,0.3522225992534781,0.5446895147607737,0.6314896504920258,0.7084492704445199,0.8121479470648116,0.8702409229725144,0.9127248048863251,0.9488971835765185,0.9599592806243638,0.9633525619273838
0.44,0.56,0.3524940617577197,0.5452324397692568,0.6333220223956566,0.7117746861214794,0.8143875127248049,0.870851713607058,0.9125212080081438,0.9489650492025788,0.959823549372243,0.9633525619273838
0.45,0.55,0.3526976586359009,0.5469290804207669,0.6346793349168646,0.7133355955208687,0.8162198846284356,0.8714625042416017,0.9121818798778418,0.9487614523243977,0.959823549372243,0.9633525619273838
0.46,0.54,0.3522225992534781,0.548150661689854,0.6365117068204954,0.7165931455717679,0.8177129284017645,0.8711910417373601,0.9121140142517815,0.9489650492025788,0.9598914149983033,0.9633525619273838
0.47,0.53,0.3526976586359009,0.5495079742110621,0.6385476756023074,0.7198506956226671,0.8190702409229725,0.8718018323719037,0.9125890736342043,0.9491007804546997,0.959823549372243,0.9633525619273838
0.48,0.52,0.35290125551408214,0.5495758398371225,0.6404479131319987,0.7219545300305396,0.8196131659314557,0.8720054292500848,0.9124533423820834,0.9488971835765185,0.9598914149983033,0.9633525619273838
0.49,0.51,0.3528333898880217,0.5510010179843909,0.6426196131659314,0.7256871394638615,0.8196131659314557,0.8723447573803869,0.9124533423820834,0.9489650492025788,0.9599592806243638,0.9633525619273838
0.5,0.5,0.3526976586359009,0.5520868680013573,0.6445877163216831,0.7286732270105192,0.8209026128266034,0.8729555480149305,0.9129284017645063,0.9490329148286393,0.9599592806243638,0.9633525619273838
0.51,0.49,0.3528333898880217,0.5531048523922634,0.6464200882253138,0.7309127926705123,0.8215134034611469,0.8726840855106889,0.9125890736342043,0.9491007804546997,0.9598914149983033,0.9633525619273838
0.52,0.48,0.35303698676620293,0.5534441805225653,0.6468951476077367,0.7336274177129284,0.8221241940956905,0.8730912792670512,0.9127926705123854,0.9489650492025788,0.9598914149983033,0.9633525619273838
0.53,0.47,0.35378350865286734,0.5552086868001357,0.6483881913810655,0.7350525958601968,0.822870715982355,0.8734984730234137,0.9131319986426875,0.9489650492025788,0.9598914149983033,0.9633525619273838
0.54,0.45999999999999996,0.35439429928741095,0.5564981336952833,0.6494740413980319,0.7360705802511028,0.8229385816084154,0.8729555480149305,0.9133355955208686,0.9491007804546997,0.9599592806243638,0.9633525619273838
0.55,0.44999999999999996,0.3543264336613505,0.5565659993213438,0.6508313539192399,0.7372921615201901,0.8236172378690193,0.8736342042755344,0.9131998642687479,0.9492365117068204,0.9600271462504242,0.9633525619273838
0.56,0.43999999999999995,0.3545978961655921,0.5575161180861894,0.6518493383101459,0.7376314896504921,0.8239565659993213,0.8739735324058364,0.9131998642687479,0.9489650492025788,0.9600271462504242,0.9633525619273838
0.57,0.43000000000000005,0.35568374618255855,0.5590770274855785,0.6533423820834747,0.7376314896504921,0.8247030878859858,0.8744485917882593,0.9132677298948083,0.9488293179504581,0.9599592806243638,0.9633525619273838
0.58,0.42000000000000004,0.3558873430607397,0.5600950118764846,0.6550390227349847,0.736952833389888,0.8268069222938582,0.8745164574143196,0.913403461146929,0.9488293179504581,0.9599592806243638,0.9633525619273838
0.59,0.41000000000000003,0.3558873430607397,0.5610451306413302,0.6557176789955887,0.7376993552765524,0.8261961316593146,0.87458432304038,0.9137427892772311,0.9489650492025788,0.9600950118764846,0.9633525619273838
0.6,0.4,0.35581947743467934,0.5616559212758737,0.6566677977604344,0.7377672209026128,0.8266711910417374,0.8748557855446216,0.9137427892772311,0.9490329148286393,0.9600950118764846,0.9633525619273838
0.61,0.39,0.35568374618255855,0.5622667119104173,0.656939260264676,0.7370206990159485,0.8260604004071938,0.8751951136749236,0.9139463861554122,0.9488971835765185,0.9600950118764846,0.9633525619273838
0.62,0.38,0.35595520868680014,0.5627417712928402,0.6571428571428571,0.7381065490329148,0.8265354597896165,0.8752629793009841,0.9140821174075331,0.9488293179504581,0.9600950118764846,0.9633525619273838
0.63,0.37,0.3558873430607397,0.5637597556837461,0.6574821852731592,0.738649474041398,0.8258568035290126,0.8754665761791652,0.9141499830335935,0.9487614523243977,0.9601628775025449,0.9633525619273838
0.64,0.36,0.3557516118086189,0.5643705463182898,0.6582965727858839,0.7391245334238208,0.825585341024771,0.8760095011876484,0.9139463861554122,0.9487614523243977,0.9601628775025449,0.9633525619273838
0.65,0.35,0.35520868680013573,0.564574143196471,0.6579572446555819,0.7385137427892773,0.8249745503902274,0.8756023074312861,0.9140821174075331,0.9488971835765185,0.9600950118764846,0.9633525619273838
0.66,0.33999999999999997,0.3560230743128605,0.5647777400746522,0.6577536477774008,0.738310145911096,0.8242958941296233,0.8752629793009841,0.9140142517814727,0.9489650492025788,0.9601628775025449,0.9633525619273838
0.67,0.32999999999999996,0.35629453681710216,0.5653885307091958,0.6575500508992196,0.738649474041398,0.8242958941296233,0.8751272480488632,0.9138785205293519,0.9490329148286393,0.9600271462504242,0.9633525619273838
0.68,0.31999999999999995,0.35622667119104173,0.5654563963352562,0.6581608415337632,0.7383780115371564,0.8236851034950797,0.8753308449270445,0.9138785205293519,0.9490329148286393,0.9600271462504242,0.9633525619273838
0.69,0.31000000000000005,0.35609093993892094,0.565931455717679,0.6583644384119444,0.7382422802850356,0.8234815066168986,0.8751951136749236,0.9136749236511706,0.9490329148286393,0.9598914149983033,0.9633525619273838
0.7,0.30000000000000004,0.35568374618255855,0.5664743807261622,0.6584323040380048,0.7368171021377672,0.8229385816084154,0.8748557855446216,0.9136070580251103,0.9486935866983373,0.959823549372243,0.9633525619273838
0.71,0.29000000000000004,0.35568374618255855,0.5672209026128266,0.6577536477774008,0.7360705802511028,0.8218527315914489,0.8744485917882593,0.9131319986426875,0.9486257210722769,0.959823549372243,0.9633525619273838
0.72,0.28,0.35595520868680014,0.567967424499491,0.6576857821513403,0.7360027146250424,0.821174075330845,0.8741092636579573,0.9127248048863251,0.9487614523243977,0.9596878181201222,0.9633525619273838
0.73,0.27,0.35683746182558534,0.5678995588734306,0.6573464540210383,0.7353919239904988,0.8204954190702409,0.8735663386494741,0.9125212080081438,0.9486935866983373,0.9596878181201222,0.9633525619273838
0.74,0.26,0.35622667119104173,0.5685782151340346,0.6571428571428571,0.7352561927383781,0.8206990159484221,0.8732948761452325,0.9128605361384459,0.9487614523243977,0.9596878181201222,0.9633525619273838
0.75,0.25,0.35541228367831695,0.5695961995249407,0.6580251102816423,0.7351883271123176,0.8202918221920598,0.8730234136409908,0.9131998642687479,0.9484899898201561,0.9596878181201222,0.9633525619273838
0.76,0.24,0.3554801493043773,0.5685782151340346,0.6570749915167967,0.7349847302341365,0.8205632846963014,0.8724804886325076,0.9132677298948083,0.9484899898201561,0.9596199524940617,0.9633525619273838
0.77,0.22999999999999998,0.35595520868680014,0.5683746182558534,0.6571428571428571,0.7348489989820156,0.8202918221920598,0.8724126230064473,0.9133355955208686,0.9484899898201561,0.9596199524940617,0.9633525619273838
0.78,0.21999999999999997,0.35609093993892094,0.5687139463861555,0.6562606040040719,0.7341024770953513,0.8200882253138785,0.8720054292500848,0.9136749236511706,0.9482863929419749,0.9595520868680013,0.9633525619273838
0.79,0.20999999999999996,0.35507295554801493,0.5678316932473703,0.6555140821174076,0.7337631489650492,0.8201560909399389,0.8719375636240244,0.913403461146929,0.9482185273159145,0.9595520868680013,0.9633525619273838
0.8,0.19999999999999996,0.35493722429589414,0.5685782151340346,0.6555819477434679,0.73389888021717,0.8201560909399389,0.8718018323719037,0.913403461146929,0.9479470648116729,0.9595520868680013,0.9633525619273838
0.81,0.18999999999999995,0.3547336274177129,0.5682388870037326,0.6554462164913472,0.7328130302002036,0.8193417034272141,0.8719375636240244,0.9129962673905667,0.9478791991856125,0.9596199524940617,0.9633525619273838
0.82,0.18000000000000005,0.35466576179165255,0.5680352901255514,0.6557176789955887,0.7323379708177808,0.8194095690532746,0.8712589073634204,0.9125212080081438,0.9479470648116729,0.9597556837461826,0.9633525619273838
0.83,0.17000000000000004,0.3545978961655921,0.5678995588734306,0.6559212758737699,0.7324058364438412,0.8187309127926705,0.8707838479809976,0.9119104173736002,0.9479470648116729,0.9597556837461826,0.9633525619273838
0.84,0.16000000000000003,0.3550050899219545,0.5675602307431286,0.6550390227349847,0.7322701051917204,0.8183915846623685,0.8703087885985749,0.9119104173736002,0.94747200542925,0.9596878181201222,0.9633525619273838
0.85,0.15000000000000002,0.35419070240922973,0.567288768238887,0.654563963352562,0.7317950458092976,0.8181879877841873,0.8700373260943333,0.911028164234815,0.9474041398031897,0.9596199524940617,0.9633525619273838
0.86,0.14,0.35351204614862575,0.5669494401085851,0.6542925008483204,0.7311163895486936,0.8183915846623685,0.8693586698337292,0.9108245673566339,0.9472684085510689,0.9594163556158806,0.9633525619273838
0.87,0.13,0.3533084492704445,0.5662029182219206,0.6532745164574143,0.730844927044452,0.8177129284017645,0.8690872073294876,0.9108245673566339,0.9473362741771293,0.9592806243637597,0.9633525619273838
0.88,0.12,0.3522225992534781,0.5664743807261622,0.6531387852052936,0.730844927044452,0.8173057346454021,0.868815744825246,0.9108924329826943,0.9473362741771293,0.9592806243637597,0.9633525619273838
0.89,0.10999999999999999,0.3507974211062097,0.5647098744485918,0.6529351883271123,0.730166270783848,0.8170342721411605,0.8686121479470648,0.9107567017305734,0.9474041398031897,0.9592806243637597,0.9633525619273838
0.9,0.09999999999999998,0.3493722429589413,0.564234815066169,0.6522565320665084,0.729826942653546,0.8168985408890397,0.8682728198167629,0.9101459110960298,0.9471326772989481,0.9592806243637597,0.9633525619273838
0.91,0.08999999999999997,0.3474041398031897,0.5634204275534441,0.6526637258228707,0.7292161520190024,0.8165592127587377,0.8680013573125213,0.9102816423481507,0.9472684085510689,0.9593484899898201,0.9633525619273838
0.92,0.07999999999999996,0.3459789616559213,0.5626739056667798,0.6523922633186291,0.7290804207668816,0.8164913471326773,0.86779776043434,0.9102137767220903,0.9469290804207668,0.9592806243637597,0.9633525619273838
0.93,0.06999999999999995,0.3433322022395657,0.5609093993892094,0.6515100101798439,0.7286732270105192,0.8160841533763149,0.8673227010519172,0.9097387173396675,0.9465218866644045,0.9593484899898201,0.9633525619273838
0.94,0.06000000000000005,0.34075330844927043,0.5607736681370885,0.6517136070580251,0.7281981676280964,0.8158805564981337,0.867119104173736,0.9095351204614862,0.9465897522904648,0.9592806243637597,0.9633525619273838
0.95,0.050000000000000044,0.33640990838140483,0.5590770274855785,0.6506277570410587,0.7278588394977944,0.8154733627417713,0.8666440447913132,0.9094672548354259,0.9461825585341025,0.9593484899898201,0.9633525619273838
0.96,0.040000000000000036,0.3320665083135392,0.5575839837122497,0.6499491007804546,0.727790973871734,0.8149983033593485,0.8665761791652528,0.908992195453003,0.9462504241601629,0.9590091618595181,0.9633525619273838
0.97,0.030000000000000027,0.32826603325415676,0.555412283678317,0.6489989820156091,0.7269087207329488,0.8147947064811673,0.8665761791652528,0.9085850016966407,0.9458432304038005,0.9589412962334578,0.9633525619273838
0.98,0.020000000000000018,0.32215812690872075,0.5544621649134713,0.6485239226331863,0.7267051238547676,0.8149304377332881,0.8665083135391924,0.9084492704445198,0.945436036647438,0.9589412962334578,0.9633525619273838
0.99,0.010000000000000009,0.3179504580929759,0.5543942992874109,0.6479809976247031,0.7266372582287072,0.8150661689854088,0.8656939260264676,0.9082456735663387,0.9453681710213777,0.9587376993552765,0.9633525619273838
1.0,0.0,0.3179504580929759,0.5543942992874109,0.6479809976247031,0.7266372582287072,0.8149983033593485,0.865761791652528,0.9079742110620971,0.9451645741431964,0.9584662368510349,0.9633525619273838
